Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"2","'004","Afghanistan","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","7776.176000","7879.339000","7987.783000","8096.698000","8207.950000","8326.979000","8454.301000","8588.335000","8723.401000","8869.270000","9035.043000","9214.083000","9404.406000","9604.487000","9814.318000","10036.008000","10266.395000","10505.959000","10756.922000","11017.409000","11290.128000","11567.667000","11853.696000","12157.999000","12469.127000","12773.954000","13059.851000","13340.756000","13611.441000","13655.567000","13169.311000","11937.581000","10991.378000","10917.982000","11190.221000","11426.852000","11420.074000","11387.818000","11523.298000","11874.088000","12045.660000","12238.879000","13278.974000","14943.172000","16250.794000","17065.836000","17763.266000","18452.091000","19159.996000","19887.785000","20130.327000","20284.307000","21378.117000","22733.049000","23560.654000","24404.567000","25424.094000","25909.852000","26482.622000","27466.100000","28284.089000","29347.708000","30560.034000","31622.704000","32792.523000","33831.764000","34700.612000","35688.935000","36743.039000","37856.121000","39068.979000","40000.412000","40578.842000","41454.761000","42647.492000","43844.111000","45047.069000","46258.906000","47470.574000","48725.716000","50039.402000","51376.001000","52707.848000","54044.254000","55359.464000","56647.232000","57953.661000","59279.044000","60597.838000","61944.472000","63347.870000","64738.843000","66060.220000","67375.163000","68703.958000","70021.200000","71384.693000","72756.311000","74109.735000","75515.602000","76885.135000","78155.052000","79457.286000","80821.896000","82196.810000","83578.886000","84980.652000","86393.649000","87773.542000","89081.741000","90362.736000","91633.723000","92931.629000","94276.121000","95639.081000","97024.251000","98338.760000","99577.253000","100850.614000","102132.889000","103416.642000","104657.106000","105836.162000","107063.245000","108265.518000","109352.869000","110399.880000","111475.822000","112514.314000","113583.427000","114673.795000","115634.326000","116516.232000","117378.535000","118292.973000","119224.273000","120043.239000","120858.257000","121694.041000","122483.519000","123304.496000","124110.001000","124854.161000","125589.411000","126306.889000","126990.147000","127647.762000","128305.496000","128964.762000","129616.118000","130216.739000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","4118.834000","4164.117000","4211.936000","4259.924000","4309.195000","4362.582000","4420.326000","4481.736000","4543.887000","4611.824000","4690.245000","4775.684000","4867.111000","4963.703000","5065.414000","5173.290000","5285.658000","5402.775000","5525.922000","5654.144000","5788.703000","5925.771000","6067.256000","6218.247000","6372.901000","6524.498000","6666.595000","6806.361000","6939.643000","6954.359000","6697.575000","6062.427000","5570.564000","5520.174000","5639.757000","5736.473000","5717.132000","5691.607000","5753.395000","5926.628000","6011.167000","6106.550000","6624.209000","7456.723000","8113.904000","8525.665000","8880.573000","9232.074000","9593.051000","9964.824000","10094.646000","10179.792000","10737.198000","11426.685000","11851.533000","12284.657000","12805.479000","13056.362000","13350.888000","13853.157000","14272.309000","14815.165000","15432.887000","15974.952000","16570.680000","17099.520000","17541.316000","18038.999000","18564.622000","19119.647000","19725.450000","20186.456000","20475.675000","20924.078000","21532.540000","22142.580000","22755.660000","23373.054000","23990.047000","24629.156000","25298.195000","25978.666000","26656.265000","27335.853000","28004.138000","28657.846000","29320.753000","29993.025000","30661.478000","31343.913000","32055.115000","32759.322000","33427.187000","34091.231000","34761.880000","35426.061000","36113.552000","36804.679000","37485.813000","38193.394000","38881.622000","39517.880000","40170.216000","40854.116000","41542.711000","42234.378000","42935.595000","43641.958000","44330.635000","44981.795000","45618.435000","46249.508000","46894.096000","47562.301000","48239.607000","48927.984000","49579.562000","50191.580000","50821.287000","51455.289000","52089.787000","52701.861000","53282.077000","53886.820000","54478.741000","55011.448000","55523.433000","56050.429000","56558.192000","57081.947000","57616.997000","58085.497000","58513.858000","58932.550000","59378.563000","59833.552000","60230.921000","60626.666000","61033.545000","61416.903000","61816.855000","62209.223000","62570.473000","62927.649000","63276.144000","63607.509000","63926.196000","64245.639000","64566.719000","64884.666000","65177.409000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3657.341000","3715.222000","3775.847000","3836.774000","3898.755000","3964.398000","4033.976000","4106.599000","4179.515000","4257.446000","4344.798000","4438.399000","4537.295000","4640.784000","4748.904000","4862.718000","4980.738000","5103.185000","5230.999000","5363.265000","5501.424000","5641.896000","5786.440000","5939.752000","6096.225000","6249.456000","6393.256000","6534.395000","6671.798000","6701.208000","6471.736000","5875.154000","5420.815000","5397.808000","5550.465000","5690.379000","5702.941000","5696.212000","5769.903000","5947.460000","6034.493000","6132.329000","6654.764000","7486.449000","8136.890000","8540.170000","8882.693000","9220.017000","9566.944000","9922.960000","10035.682000","10104.514000","10640.919000","11306.364000","11709.120000","12119.909000","12618.615000","12853.489000","13131.734000","13612.943000","14011.779000","14532.542000","15127.147000","15647.752000","16221.843000","16732.244000","17159.297000","17649.936000","18178.417000","18736.474000","19343.528000","19813.956000","20103.167000","20530.683000","21114.952000","21701.532000","22291.409000","22885.852000","23480.528000","24096.561000","24741.207000","25397.335000","26051.583000","26708.401000","27355.326000","27989.387000","28632.908000","29286.019000","29936.360000","30600.559000","31292.755000","31979.520000","32633.033000","33283.933000","33942.078000","34595.139000","35271.141000","35951.632000","36623.921000","37322.208000","38003.513000","38637.171000","39287.070000","39967.779000","40654.099000","41344.509000","42045.058000","42751.692000","43442.908000","44099.946000","44744.300000","45384.215000","46037.534000","46713.820000","47399.474000","48096.268000","48759.198000","49385.673000","50029.326000","50677.599000","51326.855000","51955.245000","52554.086000","53176.426000","53786.776000","54341.421000","54876.448000","55425.392000","55956.122000","56501.480000","57056.798000","57548.829000","58002.374000","58445.984000","58914.409000","59390.721000","59812.318000","60231.590000","60660.496000","61066.616000","61487.641000","61900.779000","62283.689000","62661.762000","63030.745000","63382.637000","63721.567000","64059.858000","64398.043000","64731.452000","65039.329000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","551","Rural population","1000 No","7286.991000","7352.856000","7425.363000","7504.561000","7590.370000","7682.763000","7781.641000","7886.997000","7998.664000","8116.554000","8240.554000","8370.731000","8507.016000","8649.566000","8798.496000","8954.064000","9113.479000","9276.202000","9446.519000","9630.541000","9830.690000","10045.261000","10267.199000","10487.151000","10692.696000","10872.864000","11033.148000","11170.461000","11255.639000","11251.885000","11129.292000","10891.902000","10563.504000","10190.525000","9834.677000","9544.582000","9321.752000","9166.105000","9117.520000","9293.948000","9655.167000","10230.490000","10995.568000","11858.090000","12690.115000","13401.971000","13952.791000","14373.573000","14733.655000","15137.497000","15657.474000","16318.324000","17086.910000","17909.063000","18692.107000","19378.962000","19961.972000","20464.923000","20929.119000","21415.593000","21966.187000","22594.126000","23280.663000","23997.856000","24703.798000","25368.923000","25985.093000","26558.609000","27099.874000","27626.382000","28150.604000","28674.023000","29191.512000","29701.149000","30199.465000","30683.762000","31153.570000","31609.269000","32049.876000","32474.347000","32881.648000","33270.867000","33641.099000","33991.382000","34320.722000","34628.216000","34913.055000","35174.475000","35411.646000","35623.832000","35810.485000","35971.542000","36107.678000","36221.721000","36314.614000","36386.218000","36436.477000","36465.547000","36473.780000","36461.658000","36429.603000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","3010","Population - Est. & Proj.","561","Urban population","1000 No","465.127000","486.654000","509.617000","534.035000","560.077000","587.818000","617.389000","648.810000","682.282000","717.891000","755.797000","796.033000","838.852000","884.388000","932.865000","984.350000","1038.852000","1096.428000","1157.827000","1223.887000","1295.433000","1372.564000","1454.741000","1540.671000","1628.845000","1717.422000","1807.151000","1897.077000","1982.095000","2054.810000","2119.078000","2162.052000","2186.141000","2198.744000","2212.438000","2238.468000","2279.289000","2336.656000","2423.368000","2483.661000","2593.947000","2763.167000","2985.663000","3237.009000","3482.604000","3697.570000","3870.093000","4008.032000","4130.344000","4266.179000","4436.282000","4648.139000","4893.013000","5155.788000","5426.872000","5691.836000","5931.478000","6151.869000","6364.912000","6588.738000","6836.980000","7114.473000","7416.295000","7733.832000","8054.222000","8367.571000","8670.939000","8971.472000","9273.302000","9582.625000","9904.337000","10239.684000","10587.583000","10948.055000","11320.521000","11704.638000","12100.876000","12510.046000","12932.441000","13368.312000","13817.897000","14281.457000","14759.230000","15251.394000","15758.064000","16279.334000","16815.273000","17365.885000","17931.018000","18510.406000","19103.637000","19710.141000","20328.618000","20955.421000","21588.764000","22228.097000","22872.875000","23522.644000","24177.043000","24835.782000","25498.515000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","1247.851000","1276.366000","1308.360000","1343.575000","1381.087000","1418.850000","1456.820000","1497.956000","1543.978000","1595.011000","1649.387000","1698.791000","1743.733000","1791.285000","1841.441000","1894.312000","1950.044000","2008.521000","2068.841000","2126.875000","2181.220000","2234.992000","2289.265000","2344.105000","2399.401000","2454.859000","2510.580000","2566.599000","2624.621000","2681.385000","2735.416000","2790.413000","2846.907000","2905.130000","2964.958000","3026.242000","3087.652000","3148.838000","3212.919000","3260.374000","3277.966000","3282.602000","3282.501000","3277.825000","3269.410000","3258.567000","3245.678000","3229.660000","3210.133000","3188.595000","3166.148000","3147.943000","3134.092000","3118.088000","3098.657000","3076.159000","3050.809000","3022.887000","2992.930000","2961.479000","2928.722000","2911.504000","2910.004000","2907.573000","2903.749000","2898.632000","2897.867000","2898.242000","2894.231000","2885.010000","2871.954000","2849.635000","2827.608000","2811.655000","2791.765000","2771.508000","2751.025000","2731.225000","2711.660000","2691.910000","2671.885000","2651.874000","2632.160000","2612.048000","2591.317000","2570.580000","2549.689000","2528.236000","2506.595000","2484.374000","2461.866000","2439.519000","2417.264000","2395.166000","2373.261000","2351.280000","2328.952000","2306.865000","2284.841000","2262.548000","2240.166000","2218.012000","2195.840000","2173.329000","2150.774000","2128.300000","2106.073000","2083.968000","2061.943000","2039.982000","2017.998000","1996.206000","1974.543000","1952.815000","1931.103000","1909.488000","1888.155000","1866.857000","1845.407000","1824.099000","1802.818000","1781.410000","1759.873000","1738.330000","1716.473000","1694.380000","1672.511000","1650.545000","1628.466000","1606.486000","1584.303000","1561.893000","1539.373000","1516.782000","1494.285000","1471.967000","1449.876000","1428.111000","1406.581000","1385.277000","1364.419000","1344.055000","1324.192000","1304.876000","1286.145000","1268.008000","1250.429000","1233.362000","1216.785000","1200.681000","1184.997000"
"3","'008","Albania","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","638.737000","650.468000","664.213000","679.763000","696.509000","713.582000","732.066000","753.282000","777.031000","803.197000","830.771000","855.977000","879.232000","903.794000","929.640000","956.808000","985.358000","1015.178000","1045.702000","1075.166000","1103.115000","1130.886000","1158.899000","1187.153000","1215.590000","1244.047000","1272.578000","1301.220000","1330.744000","1359.239000","1386.103000","1413.416000","1441.302000","1469.865000","1499.057000","1528.794000","1558.468000","1588.034000","1619.044000","1640.914000","1646.670000","1645.452000","1641.611000","1635.188000","1626.657000","1616.705000","1605.548000","1592.628000","1577.826000","1562.052000","1545.776000","1534.704000","1530.008000","1525.207000","1518.563000","1510.212000","1500.227000","1488.767000","1476.165000","1462.725000","1448.521000","1440.893000","1440.024000","1438.752000","1436.868000","1434.399000","1434.134000","1434.442000","1432.571000","1428.169000","1421.407000","1409.655000","1398.267000","1390.104000","1380.022000","1369.705000","1359.294000","1349.252000","1339.355000","1329.403000","1319.351000","1309.347000","1299.539000","1289.579000","1279.357000","1269.172000","1258.960000","1248.516000","1238.025000","1227.295000","1216.477000","1205.795000","1195.211000","1184.757000","1174.455000","1164.170000","1153.765000","1143.531000","1133.380000","1123.141000","1112.894000","1102.799000","1092.724000","1082.505000","1072.288000","1062.130000","1052.108000","1042.152000","1032.237000","1022.351000","1012.438000","1002.602000","992.808000","982.947000","973.057000","963.167000","953.370000","943.538000","933.567000","923.596000","913.568000","903.404000","893.095000","882.708000","872.093000","861.289000","850.529000","839.661000","828.683000","817.714000","806.604000","795.347000","784.010000","772.633000","761.299000","750.052000","738.928000","727.974000","717.149000","706.444000","695.964000","685.734000","675.747000","666.019000","656.568000","647.396000","638.479000","629.787000","621.313000","613.046000","604.962000"
"3","'008","Albania","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","609.114000","625.898000","644.146000","663.813000","684.578000","705.268000","724.755000","744.674000","766.947000","791.814000","818.616000","842.813000","864.501000","887.490000","911.802000","937.504000","964.687000","993.343000","1023.139000","1051.709000","1078.104000","1104.106000","1130.367000","1156.951000","1183.812000","1210.812000","1238.003000","1265.379000","1293.878000","1322.146000","1349.313000","1376.997000","1405.605000","1435.265000","1465.901000","1497.447000","1529.184000","1560.804000","1593.875000","1619.460000","1631.296000","1637.150000","1640.890000","1642.637000","1642.753000","1641.862000","1640.130000","1637.032000","1632.306000","1626.543000","1620.371000","1613.240000","1604.083000","1592.880000","1580.095000","1565.947000","1550.582000","1534.120000","1516.765000","1498.755000","1480.200000","1470.611000","1469.980000","1468.821000","1466.882000","1464.233000","1463.732000","1463.801000","1461.660000","1456.841000","1450.547000","1439.981000","1429.341000","1421.551000","1411.743000","1401.803000","1391.730000","1381.974000","1372.305000","1362.507000","1352.534000","1342.526000","1332.621000","1322.469000","1311.960000","1301.408000","1290.728000","1279.720000","1268.570000","1257.078000","1245.389000","1233.724000","1222.052000","1210.408000","1198.806000","1187.110000","1175.187000","1163.333000","1151.461000","1139.408000","1127.272000","1115.213000","1103.116000","1090.824000","1078.486000","1066.170000","1053.966000","1041.816000","1029.706000","1017.630000","1005.560000","993.603000","981.735000","969.867000","958.047000","946.322000","934.784000","923.318000","911.840000","900.503000","889.250000","878.006000","866.778000","855.622000","844.380000","833.091000","821.981000","810.885000","799.783000","788.773000","777.699000","766.546000","755.363000","744.149000","732.986000","721.915000","710.948000","700.137000","689.432000","678.833000","668.455000","658.321000","648.445000","638.856000","629.576000","620.612000","611.951000","603.575000","595.472000","587.635000","580.035000"
"3","'008","Albania","3010","Population - Est. & Proj.","551","Rural population","1000 No","1003.869000","1010.645000","1016.436000","1023.453000","1030.967000","1038.512000","1052.235000","1071.504000","1091.461000","1112.188000","1133.697000","1164.229000","1198.718000","1233.922000","1269.163000","1303.967000","1338.094000","1371.628000","1404.776000","1437.257000","1467.991000","1498.850000","1529.743000","1560.670000","1591.577000","1622.471000","1653.365000","1684.337000","1715.370000","1746.480000","1776.005000","1804.665000","1832.278000","1860.451000","1891.335000","1925.949000","1965.997000","2009.561000","2049.704000","2077.214000","2086.075000","2073.348000","2033.508000","1983.942000","1936.056000","1897.862000","1871.645000","1854.740000","1843.604000","1832.914000","1818.833000","1797.423000","1762.229000","1724.344000","1683.584000","1640.246000","1593.892000","1545.166000","1496.108000","1449.427000","1406.665000","1368.297000","1333.585000","1302.236000","1272.790000","1244.341000","1216.737000","1190.155000","1164.388000","1139.266000","1114.672000","1090.487000","1066.667000","1043.276000","1020.417000","998.161000","976.498000","955.382000","934.800000","914.735000","895.174000","876.116000","857.570000","839.540000","822.025000","805.034000","788.573000","772.664000","757.351000","742.008000","726.709000","711.475000","696.319000","681.265000","666.337000","651.555000","636.931000","622.480000","608.216000","594.158000","580.320000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","3010","Population - Est. & Proj.","561","Urban population","1000 No","259.305000","276.852000","299.653000","324.646000","351.911000","381.458000","406.854000","428.645000","451.761000","476.296000","502.359000","521.671000","538.926000","556.612000","574.430000","592.158000","609.691000","627.065000","644.375000","662.396000","682.607000","703.185000","724.101000","745.333000","766.886000","788.758000","810.971000","833.535000","856.480000","879.806000","905.234000","930.664000","956.036000","982.173000","1010.257000","1040.849000","1075.010000","1111.775000","1147.363000","1176.442000","1195.379000","1202.083000","1207.079000","1205.641000","1204.539000","1208.874000","1220.583000","1238.301000","1260.155000","1282.662000","1303.137000","1324.985000","1356.800000","1386.661000","1414.163000","1438.933000","1460.439000","1478.741000","1495.543000","1513.208000","1533.860000","1558.362000","1586.454000","1616.742000","1647.985000","1679.011000","1709.611000","1740.032000","1769.975000","1799.162000","1827.362000","1854.317000","1879.873000","1904.065000","1927.019000","1948.831000","1969.454000","1988.766000","2006.714000","2023.226000","2038.245000","2051.748000","2063.726000","2074.176000","2083.070000","2090.417000","2096.209000","2100.469000","2103.221000","2105.172000","2106.349000","2106.784000","2106.493000","2105.513000","2103.911000","2101.720000","2098.974000","2095.708000","2091.963000","2087.803000","2083.271000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
